2023-02-24 12:02:594 INFO  AirBus :109 - I click On search Button[[ChromeDriver: chrome on WINDOWS (a4d0015bee1548ae13bb0aa3e5cbb1e9)] -> xpath: //button[@class='css-1guf05z']]
2023-02-24 12:02:874 INFO  AirBus :114 - I click On search ButtonProxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Software Test Engineer')]'
2023-02-24 12:02:488 INFO  AirBus :74 - I click on CareerHome[[ChromeDriver: chrome on WINDOWS (d988134cc1d78004ddf5f5297c92644e)] -> xpath: //a[@id='btn1_1']]
2023-02-24 12:02:688 INFO  AirBus :79 - I click on cookies[[ChromeDriver: chrome on WINDOWS (d988134cc1d78004ddf5f5297c92644e)] -> xpath: //button[@id="onetrust-accept-btn-handler"]]
2023-02-24 12:02:50 INFO  AirBus :90 - I enter Text[[ChromeDriver: chrome on WINDOWS (d988134cc1d78004ddf5f5297c92644e)] -> xpath: //input[@class='css-15xm6qs']]
2023-02-24 12:02:218 INFO  AirBus :95 - I click on[[ChromeDriver: chrome on WINDOWS (d988134cc1d78004ddf5f5297c92644e)] -> xpath: //button [@data-automation-id='dateType']]
2023-02-24 12:02:609 INFO  AirBus :103 - I select JOb Catagory[[ChromeDriver: chrome on WINDOWS (d988134cc1d78004ddf5f5297c92644e)] -> xpath: //button [@data-automation-id='jobFamilyGroup']]
2023-02-24 12:02:87 INFO  AirBus :109 - I click On search Button[[ChromeDriver: chrome on WINDOWS (d988134cc1d78004ddf5f5297c92644e)] -> xpath: //button[@class='css-1guf05z']]
2023-02-24 12:02:20 INFO  AirBus :114 - I click On search Button[[ChromeDriver: chrome on WINDOWS (d988134cc1d78004ddf5f5297c92644e)] -> xpath: //a[contains(text(),'Software Test Engineer')]]
2023-02-24 12:02:22 INFO  AirBus :74 - I click on CareerHome[[ChromeDriver: chrome on WINDOWS (0bb844449e03b5acfbfab41248a2f9fa)] -> xpath: //a[@id='btn1_1']]
2023-02-24 12:02:426 INFO  AirBus :79 - I click on cookies[[ChromeDriver: chrome on WINDOWS (0bb844449e03b5acfbfab41248a2f9fa)] -> xpath: //button[@id="onetrust-accept-btn-handler"]]
2023-02-24 12:02:577 INFO  AirBus :90 - I enter Text[[ChromeDriver: chrome on WINDOWS (0bb844449e03b5acfbfab41248a2f9fa)] -> xpath: //input[@class='css-15xm6qs']]
2023-02-24 12:02:731 INFO  AirBus :95 - I click on[[ChromeDriver: chrome on WINDOWS (0bb844449e03b5acfbfab41248a2f9fa)] -> xpath: //button [@data-automation-id='dateType']]
2023-02-24 12:02:985 INFO  AirBus :103 - I select JOb Catagory[[ChromeDriver: chrome on WINDOWS (0bb844449e03b5acfbfab41248a2f9fa)] -> xpath: //button [@data-automation-id='jobFamilyGroup']]
2023-02-24 12:02:383 INFO  AirBus :109 - I click On search Button[[ChromeDriver: chrome on WINDOWS (0bb844449e03b5acfbfab41248a2f9fa)] -> xpath: //button[@class='css-1guf05z']]
2023-02-24 12:02:254 INFO  AirBus :114 - I click On search Button[[ChromeDriver: chrome on WINDOWS (0bb844449e03b5acfbfab41248a2f9fa)] -> xpath: //a[contains(text(),'Software Test Engineer')]]
2023-02-24 12:02:741 INFO  AirBus :120 - I click On Apply[[ChromeDriver: chrome on WINDOWS (0bb844449e03b5acfbfab41248a2f9fa)] -> xpath: //a[contains(text(),'Apply')]]
